Zone Code,ZoneID,Technology,Item,Installed Capacity(MW),M[12][1][2]H[0][1][2],M[12][1][2]H[3][4][5],M[12][1][2]H[6][7][8],M[12][1][2]H[9][10][11],M[12][1][2]H[12][13][14],M[12][1][2]H[15][16][17],M[12][1][2]H[18][19][20],M[12][1][2]H[21][22][23],M[3][4][5]H[0][1][2],M[3][4][5]H[3][4][5],M[3][4][5]H[6][7][8],M[3][4][5]H[9][10][11],M[3][4][5]H[12][13][14],M[3][4][5]H[15][16][17],M[3][4][5]H[18][19][20],M[3][4][5]H[21][22][23],M[6][7][8]H[0][1][2],M[6][7][8]H[3][4][5],M[6][7][8]H[6][7][8],M[6][7][8]H[9][10][11],M[6][7][8]H[12][13][14],M[6][7][8]H[15][16][17],M[6][7][8]H[18][19][20],M[6][7][8]H[21][22][23],M[9][10][11]H[0][1][2],M[9][10][11]H[3][4][5],M[9][10][11]H[6][7][8],M[9][10][11]H[9][10][11],M[9][10][11]H[12][13][14],M[9][10][11]H[15][16][17],M[9][10][11]H[18][19][20],M[9][10][11]H[21][22][23]
TWN.Central,TWNZ0,OIL_ST,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,183.84,36.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,183.84,0.00,28.84,0.00,182.75,183.84,0.00,183.84,0.00,0.00,0.00,183.84,167.59,0.00
TWN.Central,TWNZ0,OIL_ST,AS T3,,0.00,0.00,196.46,201.63,200.00,172.46,157.55,0.00,204.61,0.00,218.56,0.00,0.00,0.00,0.00,0.00,0.00,229.80,0.00,229.80,226.49,0.00,72.58,0.00,206.93,0.00,223.99,222.83,0.00,0.00,87.74,183.75
TWN.Central,TWNZ0,BIO_ST,Gross Output,87.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWN.Central,TWNZ0,BIO_ST,Net Output,87.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWN.Central,TWNZ0,BIO_ST,AS T1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWN.Central,TWNZ0,BIO_ST,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWN.Central,TWNZ0,BIO_ST,AS T3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWN.East,TWNZ1,COA_SUB,Gross Output,435.4,0.00,0.00,0.00,391.86,391.86,66.20,0.00,52.71,7.05,7.05,7.05,343.57,388.33,2.86,0.00,1.80,7.05,7.05,7.05,388.33,388.33,130.05,3.04,33.48,7.05,7.05,7.05,288.08,177.45,3.51,0.00,2.54
TWN.East,TWNZ1,COA_SUB,Net Output,435.4,0.00,0.00,0.00,364.43,364.43,61.56,0.00,49.02,6.56,6.56,6.56,319.52,361.15,2.66,0.00,1.67,6.56,6.56,6.56,361.15,361.15,120.95,2.83,31.14,6.56,6.56,6.56,267.92,165.03,3.26,0.00,2.36
TWN.East,TWNZ1,COA_SUB,AS T1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.53,3.53,3.53,3.53,3.53,1.43,0.00,0.90,3.53,3.53,3.53,3.53,3.53,3.53,1.52,3.53,3.53,3.53,3.53,3.53,3.53,1.75,0.00,1.27
TWN.East,TWNZ1,COA_SUB,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.29,0.00,2.69,6.88,10.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,3.81
TWN.East,TWNZ1,COA_SUB,AS T3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.58,0.00,10.58,39.60,0.00,0.00,0.00,0.00,0.00,0.00,10.58,0.00,0.00,0.00,0.00,0.00,0.00,10.58,0.00,0.00,0.00,0.00,0.00,0.00
TWN.East,TWNZ1,GAS_OCGT,Gross Output,433.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.22,9.16,10.08,8.78,5.86,0.00,0.00,0.00,9.56,17.67,19.52,16.48,11.76,1.55,0.00,0.46,3.94,9.89,10.81,10.03,6.62,0.00,0.00,0.00
TWN.East,TWNZ1,GAS_OCGT,Net Output,433.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,8.52,9.38,8.16,5.45,0.00,0.00,0.00,8.89,16.44,18.15,15.33,10.94,1.44,0.00,0.43,3.66,9.20,10.05,9.32,6.16,0.00,0.00,0.00
TWN.East,TWNZ1,GAS_OCGT,AS T1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.61,4.58,5.04,4.39,2.93,0.00,0.00,0.00,4.78,8.84,9.76,8.24,5.88,0.77,0.00,0.23,1.97,4.94,5.41,5.01,3.31,0.00,0.00,0.00
TWN.East,TWNZ1,GAS_OCGT,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.25,2.11,35.68,35.03,33.57,24.26,0.00,16.87,0.00,0.00,38.71,37.19,41.09,29.72,26.95,29.18,37.18,7.04,40.61,40.22,38.52,22.35,17.57,23.31
TWN.East,TWNZ1,GAS_OCGT,AS T3,,33.76,35.03,0.00,35.68,35.37,30.44,15.05,29.98,0.00,39.79,29.67,0.00,38.14,33.11,30.34,0.00,32.08,44.04,5.76,43.45,41.09,35.98,33.20,35.44,0.00,29.57,0.00,40.22,38.52,33.43,0.00,32.95
TWN.East,TWNZ1,OIL_ST,Gross Output,51.1,0.00,0.00,0.00,45.99,45.99,45.99,33.27,45.99,3.31,3.31,3.31,44.33,44.33,44.33,0.63,3.31,3.31,3.31,15.71,44.33,44.33,44.33,44.33,44.33,3.31,3.31,3.31,44.33,44.33,44.33,1.40,3.31
TWN.East,TWNZ1,OIL_ST,Net Output,51.1,0.00,0.00,0.00,42.77,42.77,42.77,30.94,42.77,3.08,3.08,3.08,41.23,41.23,41.23,0.59,3.08,3.08,3.08,14.61,41.23,41.23,41.23,41.23,41.23,3.08,3.08,3.08,41.23,41.23,41.23,1.31,3.08
TWN.East,TWNZ1,OIL_ST,AS T1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.66,1.66,1.66,1.66,1.66,1.66,0.31,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,0.70,1.66
