Zone code,Zone ID,Technology,Item,2015,2020,2025,2030,2035,2040,2045,2050
TWN.North,TWNZ2,COA_SUB,Gross Output (GWh),36526,38380,26992,15706,6750,633,94,0
TWN.North,TWNZ2,COA_SUB,Net Output (GWh),33970,35694,25103,14607,6278,588,88,0
TWN.North,TWNZ2,COA_SC,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,COA_SC,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,COA_USC,Gross Output (GWh),0,0,50708,67308,71404,92327,59214,47177
TWN.North,TWNZ2,COA_USC,Net Output (GWh),0,0,47158,62597,66406,85864,55069,43874
TWN.North,TWNZ2,COA_IGCC,Gross Output (GWh),0,0,0,0,0,0,42470,63690
TWN.North,TWNZ2,COA_IGCC,Net Output (GWh),0,0,0,0,0,0,39498,59232
TWN.North,TWNZ2,COA_SC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,COA_SC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,COA_OXY_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,COA_OXY_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,COA_IGCC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,COA_IGCC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,GAS_OCGT,Gross Output (GWh),31,28,21,14,5,0,5,0
TWN.North,TWNZ2,GAS_OCGT,Net Output (GWh),29,26,19,13,5,0,5,0
TWN.North,TWNZ2,GAS_CCGT,Gross Output (GWh),33207,29518,22138,14759,6906,0,0,0
TWN.North,TWNZ2,GAS_CCGT,Net Output (GWh),30883,27451,20589,13726,6423,0,0,0
TWN.North,TWNZ2,GAS_CC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,GAS_CC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,OIL_ST,Gross Output (GWh),9065,8058,6044,0,0,0,0,0
TWN.North,TWNZ2,OIL_ST,Net Output (GWh),8431,7494,5620,0,0,0,0,0
TWN.North,TWNZ2,NUK_LWR,Gross Output (GWh),26112,26112,0,0,0,0,0,0
TWN.North,TWNZ2,NUK_LWR,Net Output (GWh),24545,24545,0,0,0,0,0,0
TWN.North,TWNZ2,HYD_LG,Hydropower Output (GWh),715,1802,1802,1802,1802,1802,1802,1802
TWN.North,TWNZ2,HYD_SM,Hydropower Output (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,HYD_PS,Storage Input (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,HYD_PS,Storage Output (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,BIO_ST,Gross Output (GWh),1482,1504,1158,1374,1472,0,0,0
TWN.North,TWNZ2,BIO_ST,Net Output (GWh),1378,1399,1077,1278,1369,0,0,0
TWN.North,TWNZ2,BIGCC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,BIGCC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,BESS_ST1,Storage Input (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,BESS_ST1,Storage Output (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,BESS_ST4,Storage Input (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,BESS_ST4,Storage Output (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,BESS_ST8,Storage Input (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,BESS_ST8,Storage Output (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,All non-hydro renewables,Output (GWh),855,3430,5081,6593,7491,8792,8792,8792
TWN.North,TWNZ2,Wind,Output (GWh),381,2956,3399,3399,3399,3399,3399,3399
TWN.North,TWNZ2,PV,Output (GWh),474,474,1682,3194,4092,5393,5393,5393
TWN.North,TWNZ2,CSP,Output (GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,Other Renewalbes,Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,COA_SUB,Gross Output (GWh),288,380,6224,5169,1956,534,0,0
TWN.South,TWNZ3,COA_SUB,Net Output (GWh),268,353,5789,4807,1819,496,0,0
TWN.South,TWNZ3,COA_SC,Gross Output (GWh),50456,50322,44392,0,0,0,0,0
TWN.South,TWNZ3,COA_SC,Net Output (GWh),46924,46799,41285,0,0,0,0,0
TWN.South,TWNZ3,COA_USC,Gross Output (GWh),0,0,787,45677,49207,49163,32825,26316
TWN.South,TWNZ3,COA_USC,Net Output (GWh),0,0,732,42479,45762,45721,30527,24474
TWN.South,TWNZ3,COA_IGCC,Gross Output (GWh),0,0,0,0,0,0,19953,30839
TWN.South,TWNZ3,COA_IGCC,Net Output (GWh),0,0,0,0,0,0,18557,28680
TWN.South,TWNZ3,COA_SC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,COA_SC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,COA_OXY_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,COA_OXY_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,COA_IGCC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,COA_IGCC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,GAS_OCGT,Gross Output (GWh),0,0,0,0,0,9,18,0
TWN.South,TWNZ3,GAS_OCGT,Net Output (GWh),0,0,0,0,0,8,17,0
TWN.South,TWNZ3,GAS_CCGT,Gross Output (GWh),12146,10796,2230,1487,408,0,0,0
TWN.South,TWNZ3,GAS_CCGT,Net Output (GWh),11296,10040,2074,1383,380,0,0,0
TWN.South,TWNZ3,GAS_CC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,GAS_CC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,OIL_ST,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,OIL_ST,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,NUK_LWR,Gross Output (GWh),14995,14995,0,0,0,0,0,0
TWN.South,TWNZ3,NUK_LWR,Net Output (GWh),14096,14096,0,0,0,0,0,0
TWN.South,TWNZ3,HYD_LG,Hydropower Output (GWh),688,1176,1176,1176,1176,1176,4686,5245
TWN.South,TWNZ3,HYD_SM,Hydropower Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,HYD_PS,Storage Input (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,HYD_PS,Storage Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,BIO_ST,Gross Output (GWh),376,171,766,523,483,645,643,782
TWN.South,TWNZ3,BIO_ST,Net Output (GWh),350,159,712,486,449,599,598,727
TWN.South,TWNZ3,BIGCC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,BIGCC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,BESS_ST1,Storage Input (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,BESS_ST1,Storage Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,BESS_ST4,Storage Input (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,BESS_ST4,Storage Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,BESS_ST8,Storage Input (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,BESS_ST8,Storage Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,All non-hydro renewables,Output (GWh),560,1942,17739,21265,21265,21417,21470,21523
TWN.South,TWNZ3,Wind,Output (GWh),213,964,1117,1117,1117,1269,1322,1375
TWN.South,TWNZ3,PV,Output (GWh),348,348,15991,19517,19517,19517,19517,19517
TWN.South,TWNZ3,CSP,Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,Other Renewalbes,Output (GWh),0,631,631,631,631,631,631,631
TWN.OffRgn1,TWNZF0,All Renewables,Output (GWh),579,579,21417,42010,61789,79484,86464,94196
TWN.OffRgn2,TWNZF1,All Renewables,Output (GWh),0,0,4145,8293,12438,16584,18240,20390
TWN.OffRgn3,TWNZF2,All Renewables,Output (GWh),0,0,1242,2434,3727,4885,5494,5960
TWN.OffRgn4,TWNZF3,All Renewables,Output (GWh),0,0,10251,20450,30377,39933,43772,48014
TWN.Central,TWNZ0,Transmission to TWNZ3,(GWh),0,0,1731,1009,961,1122,3,121
TWN.Central,TWNZ0,Transmission to TWNZ2,(GWh),10506,12684,1957,3917,7831,2053,1926,1099
TWN.Central,TWNZ0,Transmission to TWNZ1,(GWh),1166,53,493,168,225,132,30,265
TWN.East,TWNZ1,Transmission to TWNZ3,(GWh),0,0,286,654,734,1481,1210,1074
TWN.East,TWNZ1,Transmission to TWNZ0,(GWh),0,239,57,3245,2684,3145,2435,1939
TWN.East,TWNZ1,Transmission to TWNZ2,(GWh),31,373,425,970,1343,1019,973,773
TWN.North,TWNZ2,Transmission to TWNZ0,(GWh),0,0,275,2486,454,3503,2570,1476
TWN.North,TWNZ2,Transmission to TWNZ1,(GWh),0,0,331,204,92,156,65,41
TWN.South,TWNZ3,Transmission to TWNZ0,(GWh),21,548,138,2907,2539,2329,1345,411
TWN.South,TWNZ3,Transmission to TWNZ1,(GWh),4708,2373,1119,905,989,417,342,195
TWN.OffRgn1,TWNZF0,Transmission to TWNZ2,(GWh),578,579,21415,42010,61785,79484,86461,94183
TWN.OffRgn2,TWNZF1,Transmission to TWNZ0,(GWh),0,0,4145,8293,12438,16584,18240,20390
TWN.OffRgn3,TWNZF2,Transmission to TWNZ1,(GWh),0,0,1239,2426,3704,4861,5460,5921
TWN.OffRgn4,TWNZF3,Transmission to TWNZ3,(GWh),0,0,10242,20432,30336,39894,43731,47968
