ProcessName,TechCostGroup,Parameters,Unit,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
COA_USC,China,varOPEX,USD/kWh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COA_USC,India,varOPEX,USD/kWh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COA_USC,Middle East,varOPEX,USD/kWh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COA_USC,Africa,varOPEX,USD/kWh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COA_USC,Brazil,varOPEX,USD/kWh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COA_USC,Europe,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_USC,United States,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_USC,Japan,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_USC,Russia,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_USC,China,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_USC,India,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_USC,Middle East,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_USC,Africa,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_USC,Brazil,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_IGCC,Europe,CAPEX,USD/kW,2500,2500,2425,2350,2325,2300,2275,2250,2250,2250
COA_IGCC,United States,CAPEX,USD/kW,2600,2600,2525,2450,2425,2400,2375,2350,2350,2350
COA_IGCC,Japan,CAPEX,USD/kW,2900,2900,2825,2750,2725,2700,2675,2650,2650,2650
COA_IGCC,Russia,CAPEX,USD/kW,2500,2500,2425,2350,2325,2300,2275,2250,2250,2250
COA_IGCC,China,CAPEX,USD/kW,1100,1100,1050,1000,950,900,850,800,800,800
COA_IGCC,India,CAPEX,USD/kW,1600,1600,1550,1500,1500,1500,1500,1500,1500,1500
COA_IGCC,Middle East,CAPEX,USD/kW,2000,2000,1950,1900,1900,1900,1900,1900,1900,1900
COA_IGCC,Africa,CAPEX,USD/kW,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
COA_IGCC,Brazil,CAPEX,USD/kW,2000,2000,1950,1900,1900,1900,1900,1900,1900,1900
COA_IGCC,Europe,OPEX,USD/kW,90,90,87.5,85,82.5,80,77.5,75,75,75
COA_IGCC,United States,OPEX,USD/kW,90,90,87.5,85,85,85,85,85,85,85
COA_IGCC,Japan,OPEX,USD/kW,100,100,97.5,95,95,95,95,95,95,95
COA_IGCC,Russia,OPEX,USD/kW,90,90,87.5,85,82.5,80,77.5,75,75,75
COA_IGCC,China,OPEX,USD/kW,50,50,47.5,45,42.5,40,37.5,35,35,35
COA_IGCC,India,OPEX,USD/kW,70,70,70,70,70,70,70,70,70,70
COA_IGCC,Middle East,OPEX,USD/kW,90,90,87.5,85,85,85,85,85,85,85
COA_IGCC,Africa,OPEX,USD/kW,95,95,90,85,85,85,85,85,85,85
COA_IGCC,Brazil,OPEX,USD/kW,90,90,87.5,85,85,85,85,85,85,85
COA_IGCC,Europe,varOPEX,USD/kWh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COA_IGCC,United States,varOPEX,USD/kWh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COA_IGCC,Japan,varOPEX,USD/kWh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COA_IGCC,Russia,varOPEX,USD/kWh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COA_IGCC,China,varOPEX,USD/kWh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COA_IGCC,India,varOPEX,USD/kWh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COA_IGCC,Middle East,varOPEX,USD/kWh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COA_IGCC,Africa,varOPEX,USD/kWh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COA_IGCC,Brazil,varOPEX,USD/kWh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COA_IGCC,Europe,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_IGCC,United States,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_IGCC,Japan,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_IGCC,Russia,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_IGCC,China,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_IGCC,India,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_IGCC,Middle East,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_IGCC,Africa,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_IGCC,Brazil,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_SC_CCS,Europe,CAPEX,USD/kW,5500,5500,5350,5200,4925,4650,4375,4100,4100,4100
COA_SC_CCS,United States,CAPEX,USD/kW,5600,5600,5450,5300,5075,4850,4625,4400,4400,4400
COA_SC_CCS,Japan,CAPEX,USD/kW,5900,5900,5750,5600,5375,5150,4925,4700,4700,4700
