Zone code,Zone ID,Flow,Annual Total(GWh),M12*1*2H0--3,M12*1*2H3--6,M12*1*2H6--9,M12*1*2H9--12,M12*1*2H12--15,M12*1*2H15--18,M12*1*2H18--21,M12*1*2H21--0,M3*4*5H0--3,M3*4*5H3--6,M3*4*5H6--9,M3*4*5H9--12,M3*4*5H12--15,M3*4*5H15--18,M3*4*5H18--21,M3*4*5H21--0,M6*7*8H0--3,M6*7*8H3--6,M6*7*8H6--9,M6*7*8H9--12,M6*7*8H12--15,M6*7*8H15--18,M6*7*8H18--21,M6*7*8H21--0,M9*10*11H0--3,M9*10*11H3--6,M9*10*11H6--9,M9*10*11H9--12,M9*10*11H12--15,M9*10*11H15--18,M9*10*11H18--21,M9*10*11H21--0
NIC.Central,NICZ1,Demand(MW),154.02694462979997,174.48,163.75,138.43,133.73,149.87,165.95,168.98,168.39,175.97,164.34,138.89,134.19,150.44,167.76,172.69,172.12,172.28,164.09,138.79,134.08,150.29,166.08,168.51,167.89,174.23,164.03,138.72,134.01,150.21,165.75,167.78,167.16
NIC.Central,NICZ1,Residual Demand(MW),0,166.55,155.93,130.80,126.18,141.93,157.07,160.41,159.98,169.30,157.63,133.08,128.89,144.17,161.08,166.71,165.99,167.39,159.10,133.99,129.18,145.06,159.79,162.67,162.73,170.62,160.08,134.70,129.92,146.16,160.63,163.31,163.52
NIC.Central,NICZ1,Zone Supply(MW),71.27174209899547,117.59,117.58,51.14,40.91,92.93,118.64,118.33,118.18,113.90,114.59,114.12,113.62,114.59,114.37,113.40,113.57,48.94,45.82,19.80,19.90,46.72,50.47,49.97,49.30,47.63,48.17,20.45,19.10,48.54,47.48,45.65,47.80
NIC.Central,NICZ1,Spilled Energy(MW),0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.Central,NICZ1,Import from: NICZ2,108.2410402592653,105.39,110.92,118.27,118.27,117.44,109.48,107.34,107.61,98.11,104.13,116.07,118.27,110.66,102.20,99.31,99.57,118.27,118.27,84.25,118.27,81.57,115.61,118.27,118.27,118.27,118.27,118.27,114.92,118.27,118.27,118.27,118.27
NIC.Central,NICZ1,Import from: NICZ3,2.302619830252706,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.07,0.00,34.74,0.00,22.00,0.00,0.27,0.32,8.33,0.00,0.00,0.00,0.00,0.00,3.86,1.10
NIC.Central,NICZ1,Export to: NICZ2,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.Central,NICZ1,Export to: NICZ3,27.78845755871344,48.50,64.76,30.97,25.44,60.51,62.18,56.68,57.39,36.04,54.38,91.31,97.69,74.80,48.81,40.01,41.02,0.00,0.00,0.00,4.08,0.00,0.00,0.00,0.00,0.00,2.40,0.00,0.00,16.60,0.00,0.00,0.00
NIC.East,NICZ2,Demand(MW),73.61651836073337,83.27,77.76,65.71,63.48,71.15,79.20,81.33,81.07,84.04,78.04,65.93,63.70,71.42,79.96,82.84,82.58,83.12,77.96,65.89,63.65,71.36,79.53,81.77,81.50,83.41,77.93,65.86,63.62,71.33,79.36,81.39,81.11
NIC.East,NICZ2,Residual Demand(MW),0,83.27,77.76,65.71,63.48,71.15,79.20,81.33,81.07,84.04,78.04,65.93,63.70,71.42,79.96,82.84,82.58,83.12,77.96,65.89,63.65,71.36,79.53,81.77,81.50,83.41,77.93,65.86,63.62,71.33,79.36,81.39,81.11
NIC.East,NICZ2,Zone Supply(MW),183.42233543564285,190.19,190.29,185.69,183.46,190.29,190.27,190.23,190.23,183.56,183.68,183.68,183.68,183.68,183.64,183.59,183.59,203.10,197.94,151.35,183.63,154.12,196.81,201.75,201.48,203.39,197.91,185.83,180.20,191.30,199.33,201.37,201.09
NIC.East,NICZ2,Spilled Energy(MW),0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.East,NICZ2,Import from: NICZ1,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.East,NICZ2,Import from: NICZF3,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.East,NICZ2,Export to: NICZ1,109.80581707490954,106.92,112.53,119.98,119.98,119.14,111.07,108.89,109.17,99.52,105.64,117.75,119.98,112.26,103.68,100.74,101.01,119.98,119.98,85.46,119.98,82.75,117.28,119.98,119.98,119.98,119.98,119.98,116.58,119.98,119.98,119.98,119.98
NIC.West,NICZ3,Demand(MW),237.68008176733335,249.13,229.99,191.05,183.87,208.60,235.94,245.11,244.29,268.96,250.04,210.79,203.54,228.46,256.50,266.62,265.83,286.91,271.87,232.93,225.73,250.59,277.45,285.62,284.76,270.40,252.22,213.48,206.36,231.14,257.43,264.72,263.81
