Zone code,Zone ID,Technology,Item,2015,2020,2025,2030,2035,2040,2045,2050
TWN.South,TWNZ3,BESS_ST1,Storage Input (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,BESS_ST1,Storage Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,BESS_ST4,Storage Input (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,BESS_ST4,Storage Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,BESS_ST8,Storage Input (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,BESS_ST8,Storage Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,All non-hydro renewables,Output (GWh),560,4489,17126,21465,21465,21417,21417,21417
TWN.South,TWNZ3,Wind,Output (GWh),213,964,1117,1317,1317,1269,1269,1269
TWN.South,TWNZ3,PV,Output (GWh),348,2895,15378,19517,19517,19517,19517,19517
TWN.South,TWNZ3,CSP,Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,Other Renewalbes,Output (GWh),0,631,631,631,631,631,631,631
TWN.OffRgn1,TWNZF0,All Renewables,Output (GWh),579,579,579,0,0,0,0,888
TWN.OffRgn2,TWNZF1,All Renewables,Output (GWh),0,0,0,0,0,0,0,10027
TWN.OffRgn3,TWNZF2,All Renewables,Output (GWh),0,0,0,0,0,0,0,0
TWN.OffRgn4,TWNZF3,All Renewables,Output (GWh),0,0,0,0,0,0,0,2383
TWN.Central,TWNZ0,Transmission to TWNZ3,(GWh),0,0,171,98,335,597,163,444
TWN.Central,TWNZ0,Transmission to TWNZ2,(GWh),10506,14290,2268,4423,3200,1681,3413,4897
TWN.Central,TWNZ0,Transmission to TWNZ1,(GWh),1166,0,1764,1058,728,529,193,438
TWN.East,TWNZ1,Transmission to TWNZ3,(GWh),0,0,0,2,8,184,217,207
TWN.East,TWNZ1,Transmission to TWNZ0,(GWh),0,34,0,82,162,442,107,118
TWN.East,TWNZ1,Transmission to TWNZ2,(GWh),31,345,3,3740,3450,1261,1065,924
TWN.North,TWNZ2,Transmission to TWNZ0,(GWh),0,0,87,2270,1919,2632,1229,569
TWN.North,TWNZ2,Transmission to TWNZ1,(GWh),0,0,103,288,228,300,55,57
TWN.South,TWNZ3,Transmission to TWNZ0,(GWh),21,825,208,7582,6780,7835,3502,3585
TWN.South,TWNZ3,Transmission to TWNZ1,(GWh),4708,4706,2026,1660,692,1090,1816,1892
TWN.OffRgn1,TWNZF0,Transmission to TWNZ2,(GWh),578,579,579,0,0,0,0,888
TWN.OffRgn2,TWNZF1,Transmission to TWNZ0,(GWh),0,0,0,0,0,0,0,10027
TWN.OffRgn3,TWNZF2,Transmission to TWNZ1,(GWh),0,0,0,0,0,0,0,0
TWN.OffRgn4,TWNZF3,Transmission to TWNZ3,(GWh),0,0,0,0,0,0,0,2381
